RegisterNS.Read_Register_1.address,RegisterNS.Read_Register_2.address,RegisterNS.Write_Control.Enable,RegisterNS.Write_Data.Data,RegisterNS.Write_Register.address,RegisterNS.Read_Output_1.Data,RegisterNS.Read_Output_2.Data
00000000000000000000000000000111,00000000000000000000000000001000,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001011110,00000000000000000000000001011111
00000000000000000000000000001000,00000000000000000000000000001001,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001011111,00000000000000000000000001100000
00000000000000000000000000001001,00000000000000000000000000001010,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001100000,00000000000000000000000001100001
00000000000000000000000000001010,00000000000000000000000000001011,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001100001,00000000000000000000000001100010
00000000000000000000000000001011,00000000000000000000000000001100,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001100010,00000000000000000000000001100011
00000000000000000000000000001100,00000000000000000000000000001101,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001100011,00000000000000000000000001100100
00000000000000000000000000001101,00000000000000000000000000001110,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001100100,00000000000000000000000001100101
00000000000000000000000000001110,00000000000000000000000000001111,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001100101,00000000000000000000000001100110
00000000000000000000000000001111,00000000000000000000000000010000,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001100110,00000000000000000000000001100111
00000000000000000000000000010000,00000000000000000000000000010001,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001100111,00000000000000000000000001101000
00000000000000000000000000010001,00000000000000000000000000010010,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001101000,00000000000000000000000001101001
00000000000000000000000000010010,00000000000000000000000000010011,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001101001,00000000000000000000000001101010
00000000000000000000000000010011,00000000000000000000000000010100,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001101010,00000000000000000000000001101011
00000000000000000000000000010100,00000000000000000000000000010101,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001101011,00000000000000000000000001101100
00000000000000000000000000010101,00000000000000000000000000010110,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001101100,00000000000000000000000001101101
00000000000000000000000000010110,00000000000000000000000000010111,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001101101,00000000000000000000000001101110
00000000000000000000000000010111,00000000000000000000000000011000,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001101110,00000000000000000000000001101111
00000000000000000000000000011000,00000000000000000000000000011001,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001101111,00000000000000000000000001110000
00000000000000000000000000011001,00000000000000000000000000011010,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001110000,00000000000000000000000001110001
00000000000000000000000000011010,00000000000000000000000000011011,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001110001,00000000000000000000000001110010
00000000000000000000000000011011,00000000000000000000000000011100,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001110010,00000000000000000000000001110011
00000000000000000000000000011100,00000000000000000000000000011101,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001110011,00000000000000000000000001110100
00000000000000000000000000011101,00000000000000000000000000011110,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001110100,00000000000000000000000001110101
00000000000000000000000000011110,00000000000000000000000000011111,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001110101,00000000000000000000000001110110
00000000000000000000000000011110,00000000000000000000000000011111,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001110101,00000000000000000000000001110110
00000000000000000000000000011110,00000000000000000000000000011111,0,00000000000000000000000001110110,00000000000000000000000000011111,00000000000000000000000001110101,00000000000000000000000001110110
